,Baseline,Baseline,DecisionTree,DecisionTree,LogisticRegression,LogisticRegression
,mean,std,mean,std,mean,std
fit_time,0.004,0.001,0.181,0.002,0.59,0.036
score_time,0.007,0.001,0.031,0.001,0.047,0.001
test_accuracy,0.884,0.0,0.903,0.002,0.903,0.002
train_accuracy,0.884,0.0,0.906,0.001,0.904,0.001
test_precision,0.0,0.0,0.643,0.018,0.653,0.021
train_precision,0.0,0.0,0.668,0.016,0.658,0.006
test_recall,0.0,0.0,0.363,0.029,0.352,0.015
train_recall,0.0,0.0,0.377,0.015,0.354,0.005
